"Script","Scope","Action","Purpose","RolesTestedFor","Granted"
"Azure-AVD-Alerts.ps1, Deploy-AVD-AlertWebhook-LogicApp.ps1","ResourceGroup","Microsoft.Insights/actionGroups/read","Read action groups","Owner, Contributor, Monitoring Contributor","True"
"Azure-AVD-Alerts.ps1, Deploy-AVD-AlertWebhook-LogicApp.ps1","ResourceGroup","Microsoft.Insights/actionGroups/write","Create/update action groups","Owner, Contributor, Monitoring Contributor","True"
"Azure-AVD-Alerts.ps1, Deploy-AVD-AlertWebhook-LogicApp.ps1","ResourceGroup","Microsoft.Insights/scheduledQueryRules/read","Read scheduled query alerts","Owner, Contributor, Monitoring Contributor","True"
"Azure-AVD-Alerts.ps1, Deploy-AVD-AlertWebhook-LogicApp.ps1","ResourceGroup","Microsoft.Insights/scheduledQueryRules/write","Create/update scheduled query alerts","Owner, Contributor, Monitoring Contributor","True"
"Deploy-AVD-AlertWebhook-LogicApp.ps1, Send-AVD-Webhook-TestAlert.ps1","ResourceGroup","Microsoft.Logic/workflows/read","Read Logic App workflow","Owner, Contributor, Logic App Contributor","True"
"Deploy-AVD-AlertWebhook-LogicApp.ps1","ResourceGroup","Microsoft.Logic/workflows/write","Deploy/update Logic App workflow","Owner, Contributor, Logic App Contributor","True"
"Deploy-AVD-AlertWebhook-LogicApp.ps1","ResourceGroup","Microsoft.Web/connections/read","Read API connections","Owner, Contributor","True"
"Deploy-AVD-AlertWebhook-LogicApp.ps1","ResourceGroup","Microsoft.Web/connections/write","Create/update Office 365 connection","Owner, Contributor","True"
"Azure-AVD-Alerts.ps1, Deploy-AVD-AlertWebhook-LogicApp.ps1","Workspace","Microsoft.OperationalInsights/workspaces/read","Resolve workspace details","Owner, Contributor, Log Analytics Reader, Log Analytics Contributor","True"
"Deploy-AVD-AlertWebhook-LogicApp.ps1","Workspace","Microsoft.Authorization/roleAssignments/write","Assign Log Analytics Reader to Logic App MI","Owner, User Access Administrator","True"
