"AlertName","Description","Severity","Action","Status"
"AVD-IdentityAuthProfileErrors","Detects consolidated identity/authentication/logon errors including password, token, credentials, authorization policy, DNS/gateway, and unload-related AVD failures in a single alert.","1 (Error)","Updated","Success"
"AVD-ConnectionFailedPersonalDesktopFailedToBeStarted","Detects when a personal desktop VM fails to start for a connection attempt. May indicate VM configuration issues or Azure capacity problems.","1 (Error)","Updated","Success"
"AVD-AccountDisabled","Detects connection attempts from disabled user accounts. Indicates terminated users trying to access AVD or account provisioning issues.","1 (Error)","Updated","Success"
"AVD-ConnectionFailedNoHealthyRdshAvailable","Detects when no healthy session hosts are available in a host pool. Critical issue preventing all user connections - requires immediate attention.","0 (Critical)","Updated","Success"
"AVD-FSLogixSourceErrors","Detects FSLogix-sourced AVD errors by user, code, and operation.","1 (Error)","Updated","Success"
"AVD-ConnectionFailedUserNotAuthorized","Detects unauthorized connection attempts to AVD. User lacks permissions on the application group or workspace.","1 (Error)","Updated","Success"
"AVD-ConnectionFailedNoPreAssignedPersonalDesktopForUser","Detects connection attempts when user has no personal desktop assigned. Occurs in personal host pools without desktop assignment.","1 (Error)","Updated","Success"
"AVD-ConnectionFailedClientConnectedTooLateReverseConnectionAlreadyClosed","Detects when client connects too late and reverse connection is already closed. May indicate network latency or timeout issues.","1 (Error)","Updated","Success"
"AVD-GetInputDeviceHandlesError","Detects errors initializing input device handles. May indicate driver issues or peripheral compatibility problems.","2 (Warning)","Updated","Success"
"AVD-GraphicsCapsNotReceived","Detects when graphics capabilities are not received during session initialization. May indicate GPU or graphics driver issues.","2 (Warning)","Updated","Success"
"AVD-HostCriticalFailures","Detects host-level critical failures related to memory, graphics subsystem, DWM, reverse DNS connection, and local security authority.","0 (Critical)","Updated","Success"
"AVD-SessionHostResourceNotAvailable","Detects when session host resources are unavailable. May indicate capacity issues, host health problems, or resource exhaustion.","0 (Critical)","Updated","Success"
